name, symbol, cmcRank, tokenAddress, usdPrice, tags
Revain, REV, 107, 0x2ef52Ed7De8c5ce03a4eF0efbe9B7450F2D7Edc9, 0.010109904256404456, platform reputation smart-contracts
SwissBorg, CHSB, 125, 0xba9d4199fab4f26efe3551d490e3821486f135ba, 0.6912708999910704, asset-management staking
Telcoin, TEL, 127, 0x467bccd9d29f223bce8043b84e8c8b282827790f, 0.011915153116552309, medium-of-exchange polygon-ecosystem
Neutrino USD, USDN, 141, 0x674C6Ad92Fd080e4004b2312b45f796a192D27a0, 0.9872120175916738, defi stablecoin binance-smart-chain
XYO, XYO, 143, 0x55296f69f40ea6d20e478533c15a6b08b654e758, 0.04175271243193711, 
DigitalBits, XDB, 146, 0xb9eefc4b0d472a44be93970254df4f4016569d27, 0.6027841935502104, 
CEEK VR, CEEK, 147, 0xb056c38f6b7dc4064367403e26424cd2c60655e1, 0.7054500643599153, vr-ar collectibles-nfts binance-smart-chain metaverse
GateToken, GT, 148, 0xe66747a101bff2dba3697199dcce5b743b454759, 6.4795155472888615, marketplace centralized-exchange discount-token algorand-ecosystem
OriginTrail, TRAC, 153, 0xaa7a9ca87d3694b5755f213b5d04094b8d0f0a6f, 1.3588199879052663, logistics enterprise-solutions smart-contracts polkadot-ecosystem
Ultra, UOS, 157, 0xd13c7342e1ef687c5ad21b27c2b65d772cab5c8c, 1.5825032362624822, platform collectibles-nfts gaming payments metaverse
Function X, FX, 166, 0x8c15ef5b4b21951d50e53e4fbda8298ffad25057, 0.954353310774808, hardware
Unibright, UBT, 173, 0x8400d94a5cb0fa0d041a3788e395285d61c9ee5e, 2.2311477966678686, 
Phantasma, SOUL, 187, 0x79c75e2e8720b39e258f41c37cc4f309e0b0ff80, 2.813426658214989, platform enterprise-solutions distributed-computing collectibles-nfts content-creation filesharing gaming storage
MX Token, MX, 189, 0x11eef04c884e24d9b7b4760e7476d06ddf797f36, 2.8668289224685766, marketplace centralized-exchange discount-token
Ampleforth, AMPL, 199, 0xd46ba6d942050d489dbd938a2c909a5d5039a161, 0.9634665736029375, defi rebase avalanche-ecosystem arrington-xrp-capital-portfolio alameda-research-portfolio pantera-capital-portfolio
HEX, HEX, 201, 0x2b591e99afe9f32eaa6214f7b7629768c40eeb39, 0.1589043613028079, 
Huobi BTC, HBTC, 204, 0x0316EB71485b0Ab14103307bf65a021042c6d380, 49544.07772487377, heco-ecosystem
