name, symbol, cmcRank, tokenAddress, usdPrice, tags
Dogelon Mars, ELON, 103, 0x761d38e5ddf6ccf6cf7c55759d5210750b5d60f3, 0.0000016158940144057431, memes payments polygon-ecosystem doggone-doggerel
Revain, REV, 108, 0x2ef52Ed7De8c5ce03a4eF0efbe9B7450F2D7Edc9, 0.010183721919056261, platform reputation smart-contracts
Telcoin, TEL, 117, 0x467bccd9d29f223bce8043b84e8c8b282827790f, 0.013009303098720828, medium-of-exchange polygon-ecosystem
SwissBorg, CHSB, 126, 0xba9d4199fab4f26efe3551d490e3821486f135ba, 0.6424989715085038, asset-management staking
WOO Network, WOO, 136, 0x4691937a7508860f876c9c0a2a617e7d9e945d4b, 0.9721589153336544, centralized-exchange binance-smart-chain exnetwork-capital-portfolio polygon-ecosystem mvb vbc-ventures-portfolio
CEEK VR, CEEK, 138, 0xb056c38f6b7dc4064367403e26424cd2c60655e1, 0.7307767751279161, vr-ar collectibles-nfts binance-smart-chain metaverse
Neutrino USD, USDN, 140, 0x674C6Ad92Fd080e4004b2312b45f796a192D27a0, 0.9924445176292335, defi stablecoin binance-smart-chain
GateToken, GT, 142, 0xe66747a101bff2dba3697199dcce5b743b454759, 6.635020585311276, marketplace centralized-exchange discount-token algorand-ecosystem
OriginTrail, TRAC, 143, 0xaa7a9ca87d3694b5755f213b5d04094b8d0f0a6f, 1.41329780078635, logistics enterprise-solutions smart-contracts polkadot-ecosystem
Ultra, UOS, 151, 0xd13c7342e1ef687c5ad21b27c2b65d772cab5c8c, 1.640490018015094, platform collectibles-nfts gaming payments metaverse
XYO, XYO, 152, 0x55296f69f40ea6d20e478533c15a6b08b654e758, 0.036075110398734185, web3
DigitalBits, XDB, 154, 0xb9eefc4b0d472a44be93970254df4f4016569d27, 0.4894892129121812, 
Function X, FX, 164, 0x8c15ef5b4b21951d50e53e4fbda8298ffad25057, 0.9237730710115271, hardware
Dvision Network, DVI, 167, 0x10633216e7e8281e33c86f02bf8e565a635d9770, 1.2482959686899, collectibles-nfts gaming ethereum-ecosystem binance-smart-chain metaverse mvb
Phantasma, SOUL, 187, 0x79c75e2e8720b39e258f41c37cc4f309e0b0ff80, 2.5283649610067767, platform enterprise-solutions distributed-computing collectibles-nfts content-creation filesharing gaming storage metaverse
Unibright, UBT, 193, 0x8400d94a5cb0fa0d041a3788e395285d61c9ee5e, 1.608364320177304, 
MX TOKEN, MX, 196, 0x11eef04c884e24d9b7b4760e7476d06ddf797f36, 2.3074744689721385, marketplace centralized-exchange discount-token
HEX, HEX, 201, 0x2b591e99afe9f32eaa6214f7b7629768c40eeb39, 0.2818921500131807, 
Lido stETH, STETH, 202, 0xae7ab96520de3a18e5e111b5eaab095312d7fe84, 3880.7328892011956, eth-2-staking
Huobi BTC, HBTC, 205, 0x0316EB71485b0Ab14103307bf65a021042c6d380, 49300.10842445323, heco-ecosystem
yOUcash, YOUC, 208, 0x3d371413dd5489f3a04c07c0c2ce369c20986ceb, 0.24714408569060317, 
Frax, FRAX, 209, 0x853d955acef822db058eb8505911ed77f175b99e, 0.9994880220700008, defi stablecoin seigniorage avalanche-ecosystem polygon-ecosystem fantom-ecosystem
BitDAO, BIT, 215, 0x1A4b46696b2bB4794Eb3D4c26f1c55F9170fa4C5, 1.7960050945435226, dao governance dragonfly-capital-portfolio fenbushi-capital-portfolio pantera-capital-portfolio
NXM, NXM, 220, 0xd7c49cee7e9188cca6ad8ff264c1da2e69d4cf3b, 129.94666880081235, defi insurance arrington-xrp-capital-portfolio kenetic-capital-portfolio placeholder-ventures-portfolio
Rally, RLY, 221, 0xf1f955016EcbCd7321c7266BccFB96c68ea5E49b, 0.3661943089875879, yield-farming social-token social-money coinbase-ventures-portfolio kenetic-capital-portfolio ledgerprime-portfolio a16z-portfolio
UFO Gaming, UFO, 225, 0x249e38ea4102d0cf8264d3701f1a0e39c4f2dc3b, 0.00002864296036457609, platform collectibles-nfts gaming launchpad metaverse play-to-earn
Liquity USD, LUSD, 226, 0x5f98805A4E8be255a32880FDeC7F6728C6568bA0, 0.9989583772095335, defi stablecoin
Radio Caca, RACA, 229, 0x12BB890508c125661E03b09EC06E404bc9289040, 0.0036295955065754914, collectibles-nfts gaming binance-smart-chain metaverse play-to-earn mvb
KOK, KOK, 232, 0x9b9647431632af44be02ddd22477ed94d14aacaa, 5.28053776298592, 
The Transfer Token, TTT, 233, 0x2494a68C1484376fEf880b4c24D91f049d29B02A, 5.3951673030895675, 
Rocket Pool, RPL, 239, 0xd33526068d116ce69f19a9ee46f0bd304f21a51f, 43.5600736709383, defi
Starlink, STARL, 241, 0x8e6cd950ad6ba651f6dd608dc70e5886b1aa6b24, 0.00004240686167661517, metaverse
Veritaseum, VERI, 247, 0x8f3470A7388c05eE4e7AF3d01D8C722b0FF52374, 182.33200865202141, services
Bitpanda Ecosystem Token, BEST, 250, 0x1b073382e63411e3bcffe90ac1b9a43fefa1ec6f, 1.0636541724016433, marketplace centralized-exchange
Orbit Chain, ORC, 255, 0x662b67d00a13faf93254714dd601f5ed49ef2f51, 0.5915661247309864, 
Braintrust, BTRST, 260, 0x799ebfabe77a6e34311eeee9825190b9ece32824, 3.7234037766627837, coinbase-ventures-portfolio web3
Wilder World, WILD, 262, 0x2a3bff78b79a009976eea096a51a948a3dc00e34, 3.65182533256853, vr-ar collectibles-nfts gaming metaverse polkastarter animoca-brands-portfolio skyvision-capital-portfolio
LUKSO, LYXe, 264, 0xA8b919680258d369114910511cc87595aec0be6D, 19.52065881686648, collectibles-nfts metaverse
MetisDAO, METIS, 265, 0x9E32b13ce7f2E80A01932B42553652E053D6ed8e, 145.16474749607337, 
DAO Maker, DAO, 267, 0x0f51bb10119727a7e5ea3538074fb341f56b09ad, 4.522125139500548, defi governance launchpad dao-maker vbc-ventures-portfolio
HyperDAO, HDAO, 271, 0x74faab6986560fd1140508e4266d8a7b87274ffd, 0.07880665508293215, 
inSure DeFi, SURE, 272, 0xcb86c6a22cb56b6cf40cafedb06ba0df188a416e, 0.009952125612246534, collectibles-nfts defi dao insurance binance-smart-chain metaverse
HedgeTrade, HEDG, 273, 0xF1290473E210b2108A85237fbCd7b6eb42Cc654F, 0.7627229011929217, asset-management marketplace discount-token
Humanscape, HUM, 279, 0x174afe7a032b5a33a3270a9f6c30746e25708532, 0.3375150499984564, 
Wrapped NCG (Nine Chronicles Gold), WNCG, 281, 0xf203Ca1769ca8e9e8FE1DA9D147DB68B6c919817, 1.98653712357365, skyvision-capital-portfolio
OpenDAO, SOS, 283, 0x3b484b82567a09e2588a13d54d032153f0c0aee0, 0.000006017913583985687, 
e-Radix, EXRD, 286, 0x6468e79A80C0eaB0F9A2B574c8d5bC374Af59414, 0.307170502020609, ethereum-ecosystem
Qredo, QRDO, 287, 0x4123a133ae3c521fd134d7b13a2dec35b56c2463, 6.7506715682990635, 
Bifrost (BFC), BFC, 288, 0x0c7D5ae016f806603CB1782bEa29AC69471CAb9c, 0.21199528801437964, platform interoperability avalanche-ecosystem exnetwork-capital-portfolio vbc-ventures-portfolio
Vectorspace AI, VXV, 291, 0x7D29A64504629172a429e64183D6673b9dAcbFCe, 5.628267161126173, ai-big-data ethereum-ecosystem
Alchemy Pay, ACH, 292, 0xed04915c23f00a313a544955524eb7dbd823143d, 0.06138794945676852, 
BioPassport Token, BIOT, 295, 0xc07A150ECAdF2cc352f5586396e344A6b17625EB, 0.12071560076404671, 
Sovryn, SOV, 299, 0xbdab72602e9ad40fc6a6852caf43258113b8f7a5, 10.517355294319215, 
ASD, ASD, 300, 0xff742d05420b6aca4481f635ad8341f81a6300c2, 0.3173315010397242, centralized-exchange
Orbs, ORBS, 308, 0xff56cc6b1e6ded347aa0b7676c85ab0b3d08b0fa, 0.08964786299132713, services enterprise-solutions
XSGD, XSGD, 309, 0x70e8de73ce538da2beed35d14187f6959a8eca96, 0.7351346955191991, stablecoin asset-backed-stablecoin zilliqa-ecosystem
Circuits of Value, COVAL, 310, 0x3d658390460295fb963f54dc0899cfb1c30776df, 0.11146503873456579, collectibles-nfts defi
CRYPTO20, C20, 314, 0x26e75307fc0c021472feb8f727839531f112f317, 4.86098268226662, services
Tether Gold, XAUT, 316, 0x68749665FF8D2d112Fa859AA293F07A622782F38, 1812.0299471349933, 
Hxro, HXRO, 322, 0x4bd70556ae3f8a6ec6c4080a0c327b24325438f3, 0.4654937856503593, three-arrows-capital-portfolio solana-ecosystem cms-holdings-portfolio coinfund-portfolio ledgerprime-portfolio alameda-research-portfolio
Efinity Token, EFI, 323, 0x656C00e1BcD96f256F224AD9112FF426Ef053733, 1.0743820805064348, collectibles-nfts gaming polkadot-ecosystem metaverse
Verasity, VRA, 328, 0xf411903cbc70a74d22900a5de66a2dda66507255, 0.04004696577775209, collectibles-nfts gaming entertainment payments staking video metaverse
